iter	Passed	Remaining
0	1	440
1	2	430
2	4	426
3	5	420
4	7	416
5	8	414
6	9	413
7	11	409
8	12	408
9	14	406
10	15	404
11	16	403
12	18	401
13	19	400
14	20	398
15	22	395
16	23	395
17	25	393
18	26	391
19	27	389
20	29	387
21	30	386
22	31	384
23	33	382
24	34	380
25	35	379
26	37	377
27	38	376
28	40	375
29	41	373
30	42	371
31	44	370
32	45	369
33	46	367
34	48	365
35	49	364
36	51	363
37	52	361
38	53	360
39	55	358
40	56	356
41	57	355
42	59	353
43	60	351
44	61	350
45	63	349
46	64	347
47	65	346
48	67	344
49	68	342
50	69	341
51	71	340
52	72	338
53	73	336
54	75	335
55	76	333
56	77	331
57	79	329
58	80	327
59	81	326
60	82	324
61	84	322
62	85	320
63	86	318
64	87	317
65	88	315
66	90	313
67	91	311
68	92	310
69	93	308
70	95	306
71	96	305
72	97	303
73	98	302
74	100	300
75	101	298
76	102	297
77	103	295
78	105	294
79	106	292
80	107	291
81	108	289
82	110	287
83	111	286
84	112	284
85	113	283
86	115	281
87	116	280
88	117	278
89	118	277
90	120	275
91	121	274
92	122	272
93	123	271
94	125	269
95	126	268
96	127	267
97	129	266
98	130	264
99	131	263
100	132	261
101	134	260
102	135	258
103	136	257
104	137	255
105	139	254
106	140	253
107	141	251
108	142	250
109	144	248
110	145	247
111	146	246
112	147	244
113	149	243
114	150	241
115	151	240
116	152	239
117	154	237
118	155	236
119	156	235
120	157	233
121	159	232
122	160	230
123	161	229
124	162	228
125	164	226
126	165	225
127	166	224
128	167	222
129	169	221
130	170	220
131	171	218
132	173	217
133	174	215
134	175	214
135	176	213
136	178	211
137	179	210
138	180	209
139	181	207
140	183	206
141	184	205
142	185	203
143	186	202
144	188	201
145	189	199
146	190	198
147	191	197
148	193	195
149	194	194
150	195	193
151	197	191
152	198	190
153	199	189
154	201	188
155	202	186
156	203	185
157	204	184
158	205	182
159	207	181
160	208	180
161	209	178
162	211	177
163	212	176
164	213	174
165	214	173
166	216	172
167	217	170
168	218	169
169	219	168
170	221	166
171	222	165
172	223	164
173	224	162
174	226	161
175	227	160
176	228	158
177	230	157
178	231	156
179	232	155
180	233	153
181	235	152
182	236	151
183	237	149
184	238	148
185	240	147
186	241	145
187	242	144
188	244	143
189	245	142
190	246	140
191	247	139
192	249	138
193	250	136
194	251	135
195	252	134
196	254	132
197	255	131
198	256	130
199	257	128
200	259	127
201	260	126
202	261	125
203	262	123
204	264	122
205	265	121
206	266	119
207	267	118
208	269	117
209	270	115
210	271	114
211	272	113
212	274	112
213	275	110
214	276	109
215	278	108
216	279	106
217	280	105
218	281	104
219	283	102
220	284	101
221	285	100
222	287	99
223	288	97
224	289	96
225	290	95
226	292	93
227	293	92
228	294	91
229	295	90
230	297	88
231	298	87
232	299	86
233	300	84
234	302	83
235	303	82
236	304	80
237	305	79
238	307	78
239	308	77
240	309	75
241	310	74
242	312	73
243	313	71
244	314	70
245	315	69
246	317	68
247	318	66
248	319	65
249	321	64
250	322	63
251	324	61
252	333	61
253	334	60
254	336	59
255	337	57
256	338	56
257	340	55
258	341	54
259	342	52
260	343	51
261	345	50
262	346	48
263	347	47
264	349	46
265	350	44
266	351	43
267	353	42
268	354	40
269	355	39
270	357	38
271	358	36
272	359	35
273	360	34
274	362	32
275	363	31
276	364	30
277	366	28
278	367	27
279	368	26
280	369	25
281	371	23
282	372	22
283	373	21
284	374	19
285	376	18
286	377	17
287	378	15
288	380	14
289	381	13
290	382	11
291	384	10
292	385	9
293	386	7
294	387	6
295	389	5
296	390	3
297	391	2
298	393	1
299	394	0
