iter	RMSE
0	11011.6623
1	10627.17675
2	10262.98948
3	9902.729787
4	9559.451993
5	9244.294964
6	8946.001289
7	8684.955734
8	8427.40155
9	8187.713875
10	7957.524595
11	7738.071019
12	7538.390226
13	7346.043226
14	7167.856848
15	7001.190561
16	6842.919798
17	6706.437653
18	6557.625538
19	6422.592973
20	6297.541889
21	6180.6764
22	6063.360591
23	5960.319087
24	5862.247208
25	5763.33747
26	5666.135215
27	5569.726495
28	5479.170928
29	5398.105471
30	5316.334683
31	5248.615806
32	5176.741325
33	5108.429624
34	5036.575561
35	4969.535739
36	4910.762091
37	4852.032075
38	4797.025991
39	4743.162729
40	4680.005111
41	4632.651798
42	4582.532844
43	4545.238563
44	4500.468806
45	4447.177649
46	4410.722194
47	4361.898039
48	4322.822587
49	4283.277486
50	4246.880209
51	4212.006719
52	4184.067142
53	4153.878772
54	4124.664028
55	4097.697277
56	4071.186454
57	4042.608706
58	4017.158707
59	3990.714016
60	3969.184157
61	3942.31808
62	3917.689737
63	3895.705385
64	3861.845793
65	3839.863127
66	3818.679486
67	3798.919175
68	3782.184364
69	3763.529515
70	3745.295077
71	3726.69877
72	3709.028977
73	3690.744627
74	3675.083659
75	3654.356249
76	3634.342912
77	3619.249013
78	3607.049441
79	3595.339311
80	3578.979755
81	3565.89548
82	3553.117912
83	3540.63428
84	3525.684074
85	3515.572703
86	3505.89139
87	3493.17879
88	3483.899981
89	3473.445302
90	3466.392353
91	3456.882833
92	3447.86745
93	3436.560802
94	3424.00535
95	3410.640276
96	3404.373073
97	3392.111087
98	3385.811691
99	3377.089133
100	3365.410569
101	3356.904063
102	3347.249045
103	3341.213612
104	3335.123199
105	3329.7071
106	3322.161685
107	3314.500344
108	3309.547058
109	3302.689375
110	3295.691361
111	3288.914723
112	3283.722432
113	3277.595615
114	3271.784654
115	3263.760672
116	3258.245514
117	3250.563282
118	3243.614428
119	3236.733507
120	3227.347261
121	3221.151187
122	3216.077851
123	3211.361276
124	3203.119456
125	3196.052341
126	3190.317228
127	3185.773349
128	3178.762929
129	3174.340282
130	3165.571727
131	3161.899606
132	3155.198623
133	3151.353813
134	3146.804102
135	3142.187735
136	3138.803099
137	3135.657463
138	3130.604208
139	3125.161874
140	3121.254085
141	3117.611799
142	3114.303838
143	3111.203515
144	3106.834884
145	3101.770547
146	3097.016528
147	3091.852322
148	3085.005488
149	3079.001792
150	3073.639015
151	3068.325123
152	3064.901476
153	3061.859849
154	3057.33095
155	3052.397784
156	3048.463706
157	3042.985757
158	3039.087564
159	3036.370519
160	3029.898218
161	3024.23888
162	3018.633409
163	3015.220969
164	3012.069401
165	3008.721553
166	3005.051988
167	3002.716348
168	2995.333001
169	2992.696368
170	2990.426175
171	2986.555608
172	2982.684387
173	2978.254929
174	2976.374209
175	2973.077251
176	2970.480256
177	2965.37112
178	2961.483788
179	2957.430596
180	2952.729392
181	2948.977072
182	2944.657105
183	2941.871628
184	2939.181371
185	2936.371452
186	2932.320901
187	2928.817267
188	2925.74085
189	2920.542317
190	2918.342236
191	2914.741948
192	2911.782186
193	2908.530837
194	2904.466246
195	2901.670826
196	2897.338126
197	2895.189753
198	2892.090918
199	2890.060705
200	2886.700815
201	2883.658913
202	2880.569003
203	2877.035893
204	2873.946043
205	2872.311047
206	2870.01568
207	2865.672948
208	2862.952919
209	2859.897369
210	2857.005503
211	2853.5971
212	2850.172193
213	2847.641404
214	2844.337948
215	2839.569845
216	2836.772539
217	2834.057036
218	2831.475566
219	2829.315516
220	2826.745569
221	2823.928545
222	2821.264822
223	2818.922661
224	2816.325212
225	2813.392406
226	2810.160931
227	2807.733809
228	2804.758457
229	2803.117677
230	2800.478244
231	2798.060631
232	2796.334288
233	2794.085855
234	2791.219286
235	2788.580137
236	2786.678665
237	2784.571295
238	2782.573757
239	2781.266809
240	2778.682114
241	2777.078259
242	2774.922095
243	2772.631227
244	2770.696526
245	2767.39112
246	2763.884015
247	2762.161563
248	2759.447625
249	2757.266654
250	2753.962276
251	2751.814769
252	2749.598447
253	2746.555123
254	2745.198592
255	2742.950072
256	2740.934809
257	2739.32791
258	2736.586466
259	2732.996903
260	2730.470005
261	2728.697789
262	2727.010933
263	2724.848661
264	2722.46222
265	2720.224782
266	2717.417835
267	2715.360952
268	2713.956326
269	2711.698
270	2710.877685
271	2708.80254
272	2706.550858
273	2704.72911
274	2703.268079
275	2701.133081
276	2698.602984
277	2697.053513
278	2694.928575
279	2694.152143
280	2692.587843
281	2689.993896
282	2688.412142
283	2687.59402
284	2686.176732
285	2684.518119
286	2682.727382
287	2680.340611
288	2677.912763
289	2675.701204
290	2673.699423
291	2671.434263
292	2668.984023
293	2667.14049
294	2666.083581
295	2663.452697
296	2661.237706
297	2659.834436
298	2658.45159
299	2657.225187
